name,institution,delete
John L. Worrall,University of Texas,
Changrong Yuan,Second Military Medical Universit,
V. V. Monikandan AUTHOR,Department of Mechanical Engineering,
Dr Jean Joel R Bigna,University of Yaoundé 1,
Carmen Vives Cases,Universidad de Alicante,
Tomasz Rowiński,Cardinal Stefan Wyszyński University,
Maranda McBride,North Carolina Agricultural and Technical State University,
Argentina Maciel,Universidad Anáhuac,
Ee-Yuee CHAN,Tan Tock Seng Hospital | ttsh · Nursing,
Katrin Auspurg,University of Konstanz,x
Rachel Davis,University of Oxford,x
Carlos Albuquerque,Instituto Politécnico de Viseu,
Loreena Hill,"Institute of Nursing Research, University of Ulster, Jordanstown Campus,",
Eva González Ortega,Universidad de Salamanca (Spain),
BF Damásio,"Universidade Federal do Rio de Janeiro, Rio de Janeiro",
Carsten Sauer,Radboud Universiteit Nijmegen,x
Gabriele Gianini,"EBTIC Center, Khalifa University, Abu Dhabi (UAE)",
Bjorn Andernach,University of Bielefeld,
Linda L. Caldwell,The Pennsylvania State University,
Corinna Frodermann,Universität Konstanz,x
Mara Bria,"Psychology Department, Babeş – Bolyai University Cluj-Napoca, Romania",
Theodora Kandri,University General Hospital of Larissa,
Scott Clifford,University of Houston,
John Carpenter,University of Bristol,
Jenny Setchell,"School of Psychology, The University of Queensland, Australia",
S. Michael Putman,"University of North Carolina at Charlotte, USA",
MEHDI MOMENI,University of Isfahan,
Bryan Byers,Ball State University,
Kseniia Gatskova,Osteuropa-Institut Regensburg,
Kirsten N. Corazzini,Duke University,x
R. Carrera-Cerritos,"Departamento de Ingeniería Química, Universidad de Guanajuato",
González Ortega E,Universidad de Salamanca.,
Martin Diewald,Bielefeld University,
Campbell Killick,"Campbell Killick is a Research Officer with the South Eastern Health and Social Care Trust, Northern Ireland. Brian Taylor is Senior Lecturer in Social Work at the University of Ulster, Northern Ireland.",
Michiru Nagatsu,"University of Helsinki, Finland",
Catherine Norrish,"Oman Medical College, Sohar, Oman",
Jamie Wolff,University of British Columbia,
Omar Guezoul,"Department of Agronomical Sciences, Faculty of Nature and Life Sciences and Sciences of Earth and Universe, University of Kasdi Merbah, 30000 Ouargla, Algeria",
H Nasfi,Université de Montpellier,
Janice Rattray,University of Dundee,
Rollin Nagel,Ohio State University College of Medicine,
Carlos Albuquerque,Instituto Politécnico de Viseu,x
Stephen Short,"Department of Psychology, University of Kansas, 1415 Jawyhawk Blvd, Lawrence, KS, 66045, USA",
Claire Falandry,"Département de Gériatrie, Centre Hospitalier Lyon Sud, 165 chemin du Grand Revoyet, 69495 Pierre-Bénite Cedex, France",
Jayati Das‐Munshi,"Section of Epidemiology, PO Box 60, Department of Health Service and Population Research, Institute of Psychiatry, King's College London, De Crespigny Park, London SE5 8AF, UK",
Kirsten N. Corazzini,Duke University School of Nursing,x
Carsten Sauer,Bielefeld University,x
Martin Abraham,Friedrich-Alexander-Universität Erlangen-Nürnberg,x
James Cole,Indiana University,
Pablo Vallejo-Medina,"Facultad de Psicología, Fundación Universitaria Konrad Lorenz, Bogotá, Colombia",
Campbell Killick,"South Eastern Health and Social Care Trust, Northern Ireland",x
Bilyana B. Yordanova,South-West University,
Achim Goerres,University of Duisburg-Essen,x
Kirsten N. Corazzini,Duke University School of Nursing,x
