"name","institution","delete"
"Bruce J. Eberhardt","University of North Dakota",""
"Mary Ann Mattoon","{}",""
"Bruce J. Eberhardt","University of North Dakota",""
"Samia L. Massoud","Texas A&M University",""
"Michael McKenna","Georgia Southern University",""
"Bruce Eberhardt","University of North Dakota",""
"Dennis Rome","{}",""
"safsafasfas fsafas","fasfasfasf",""
"Dennis M. Rome","Indiana University",""
"Ken Canfield","National Center for Fathering",""
"Gillian Brunier","Sunnybrook Health Sciences Centre , Toronto",""
"Bruce Eberhardt","University of North Dakota",""
"Leona Aiken","{}",""
"Mark Warr","University of Texas",""
"asgasgsa gasgas","gasggasg",""
"Tom D. Taber","University of New York at Albany",""
"Bruce J. Eberhardt","University of North Dakota",""
"sdgsdgsd gsdgsdgsd","gsdgsdgsd",""
"Michael C. McKenna","N/A",""
"gsdgsd sdgsdgsd","gsdgsdgsd",""
"Kathleen McKinney","Illinois State University",""
"sdgsdgsdggsdgs gsdgsd","dsgsdg",""
"Bruce J. Eberhardt","University of North Dakota",""
"Daniel Shek","The chinese University of hong kong",""
"G Jasso","N/A",""
"Michael C. McKenna","N/A",""
"Michael C McKenna","Georga Southern University",""
"Ronet Bachman","University of Delaware",""
"sdgsdgsd sdggg","dgsdgsdgsdgsd",""
"W.A Arrindell, ARRINDELL","Vrije Universiteit, Faculty of Medicine, Department of Psychiatry at the Amsterdam Psychiatric Centre, Valeriusplein 9, 1075 BG Amsterdam, The Netherlands",""
"Michael C. McKenna","N/A",""
"Michael C. McKenna","Georgia Southern University, Savannah, Georgia, USA",""
"Bernard Gallagher","Villanova University",""
"ewgwegew ewggwegwe","gwegwegw",""
"Michael C. McKenna","Georgia Southern University",""
"Louise Fitzgerald","{}",""
"sagaga gasgasgasgas","gagasg",""
"Craig St John","University of Oklahoma",""
"Paul Biner","Ball State University",""
"Raymond LaGarce","Southern Illinois University",""
"W.A Arrindell","Amsterdam Psychiatric Centre",""
"Marianne Welsh","Anaheim Union High School District",""
"ewgewgewgweg gegwegewgewg","gewgewgewge",""
"Stephen Osborne","{}",""
"Jane Webster","Newcastle University",""
"gsdgsdg sdgsdgdsgd","sgdsgsd",""
"Maryann Fraboni","N/A",""
"Thomas G. Tape","University of Nebraska Medical Center",""
"Douglas D.Baker","Washington State University",""
"Richard A. Berk","Center for the Study of the Environment and Society Department of Sociology and Interdivisional Program in StatisticsUCLAUSA",""
"M. Hennessy","Prevention Research Center, Berkeley, California",""
"Peter Milgrom","University of Washington School of Dentistry",""
"Kamwing Ng","Shanghai Jiao Tong University",""
"John MacKenzie","University of Delaware",""
"Raymond LaGarce","Southern Illinois University-Edwardsville, USA",""
"Marianne Welsh","Anaheim Union High School District",""
"Raymond LaGrace","Southern Illinois University-Edwardsville",""
"G. Marin","VanossDepartment of Psychology, University of San Francisco",""
"gsdgsdgsd gsdgs","gsdg",""
"Bozzo GS","{}",""
"M Hennessy","N/A",""
"Peter John","University of texas",""
"Mourad Ismail","Cairo University",""
"gsdg gsdgsdgsdgg","sdgsd",""
"John MacKenzie","{}",""
"T. K. MANDAL","xavier university of louisiana",""
"hdhrhdhrhww fdsfs","fsfsghegesg",""
"gsdgsdg sdgsgsd","gsdgsdgsdgsdgsd",""
"M Hennessy R F Saltz","Prevention Research Center, Berkeley",""
"T. K. MANDAL","xavier university of louisiana",""
"{} hrherhhre","hreherh",""
"Christopher Hunter","{}",""
"T.K. Mandal","{}",""
"asfasfasfas fasfasf","asf",""
"Janet Riley","IACR",""
"Christopher Hunter","Grinnell College",""
"H.C. ZHANG","Texas Tech University",""
"T. K. MANDAL","Xavier University",""
"John R. Cannon","University of NevadaReno",""
"Joop Hox","University of Amsterdam",""
"fhdfhdfhdf hdfhdfhdf","hdfhdfh",""
"T. K. MANDAL","xavier university of louisiana",""
"A Myrick Freeman","Bowdoin College",""
"Philip Gendall","Massey University",""
"Christopher Hunter","{}",""
"sdgsd gsdg","sdgsdgsd",""
"T. K. MANDAL","xavier university of louisiana",""
"ewgweg ewgew","gewgewg",""
"Elizabeth A. Martin","University of Missouri",""
"Janette Beals","University of Colorado",""
"Patricia Shiono","Center for the Future of Children, David and Lucile Packard FoundationLos Altos, CA",""
"Mary Love","{}",""
"Mary Beth Love",NA,""
"Christopher Hunter","Grinnell College",""
"Stephen W. Webster","N/A",""
"sdfsdf sddg","sdgsdgsd",""
"Victor Whiteman","Michigan State University",""
"Lee Sigelman","University of Arizona",""
"Stephen W. Webster","N/A",""
"segg gsegesges","gsegseg",""
"James Davis",NA,""
"James Davis","National Data Program for the Social Sciences; Harvard University",""
"Kenneth J. Ottenbacher","State University of New York at Buffalo",""
"Stephen W. Webster","N/A",""
"asgasgas gasg","gasg",""
"Edwin Lapointe","Cambridge University",""
"A. Castric","Laboratoire de Biologie Marine du College de France",""
"Dean Knudsen","N/A (there was nothing written)",""
"gewgwe gwegewg","gwegwe",""
"Julie Poage","{}",""
"Julie Poage","none",""
"fasfasfas asfasfas","fasfasfas",""
"Sandeep Kumar","Raman Research Institute (India)",""
"R. Ryan Nelson","University of Virginia",""
"asfasf asfasf","fasfas",""
"Julia Poage","{}",""
"Single"" for the second author's first name, and enter ""Author"" for the second author's last name Single"" for the second author's first name, and enter ""Author"" for the second author's last name","Single"" for the second author's first name, and enter ""Author"" for the second author's last name",""
"Roderick J.A.Little","Richard D. Remington Distinguished University Professor of Biostatistics",""
"CHING-SHUI CHENG","University of California Berkeley",""
"Barbara M. Byrne",NA,""
"Barbara Byrne","{}",""
"Penelope Canan",NA,""
"Penelope Canan","university of Denver",""
"gsdgsd sdgsd","gsd",""
"Julie A. Poage","N/A",""
"hrhrdhd hdhdhf","hdhfdh",""
"Eran Feitelson","University of Jerusalem",""
"B. Mohlin","{}",""
"gsdgsdgsdgdsgsd gsdgsdgsd","gsdgsdg",""
